frame_len;vlan_id;ip_len;ip_flags_df;ip_ttl;x_ws_expert_severity;tcp_srcport;tcp_dstport;tcp_len;tcp_hdr_len;tcp_window_size_value;tcp_pdu_size;x104apci_apdulen;x104apci_tx;x104apci_rx;x104asdu_typeid;x104asdu_causetx;attack
60;NaN;44;0;57;2097152;58308;34801;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;45;2097152;58308;38636;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;37;2097152;56967;56780;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;46;2097152;47233;13098;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;40;2097152;47233;52699;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;38;2097152;56967;18492;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;42;2097152;56967;2020;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;58;2097152;58308;6843;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;48;2097152;58308;10560;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;57;2097152;56967;33485;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;56;2097152;47233;55701;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;52;2097152;58308;50727;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;44;2097152;47233;29375;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;59;2097152;56967;23944;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;46;2097152;47233;52639;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;57;2097152;58308;39426;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;51;2097152;47233;1322;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;49;2097152;58308;11656;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;57;2097152;56967;42947;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;55;2097152;58309;44309;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;52;2097152;56968;18069;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;45;2097152;47232;47956;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;45;2097152;56968;18132;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;56;2097152;58309;9226;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;38;2097152;47232;5690;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;54;2097152;58309;37526;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;59;2097152;56968;20651;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;50;2097152;47232;34502;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;50;2097152;56968;10050;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;39;2097152;47232;5302;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;45;2097152;58309;34801;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;50;2097152;58309;38636;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;57;2097152;56968;56780;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;39;2097152;47232;11557;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;43;2097152;47232;33608;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;46;2097152;56968;18492;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;44;2097152;56968;2020;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;43;2097152;58309;6843;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;42;2097152;56968;33485;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;59;2097152;58309;10560;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;57;2097152;47232;49585;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;47;2097152;58309;50727;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;57;2097152;47232;39314;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;57;2097152;56968;23944;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;52;2097152;47232;47213;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;58;2097152;58309;39426;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;47;2097152;47232;63027;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;48;2097152;58309;11656;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;51;2097152;56968;42947;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;51;2097152;58308;36086;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;57;2097152;56967;9753;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;57;2097152;47233;47956;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;39;2097152;58308;38408;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;53;2097152;56967;11582;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;55;2097152;47233;5690;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;46;2097152;58308;20494;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;45;2097152;56967;29742;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;49;2097152;47233;34502;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;46;2097152;56967;5020;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;50;2097152;47233;5302;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;43;2097152;58308;38370;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;55;2097152;58308;59912;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;51;2097152;56967;26223;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;48;2097152;47233;11557;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;56;2097152;47233;33608;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;44;2097152;56967;63088;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;57;2097152;56967;41765;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;52;2097152;58308;16020;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;56;2097152;58308;17730;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;59;2097152;47233;49585;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;44;2097152;56967;4129;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;50;2097152;58308;13056;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;38;2097152;47233;39314;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;47;2097152;56967;24111;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;48;2097152;47233;47213;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;52;2097152;58308;58414;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;52;2097152;47233;63027;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;56;2097152;58308;51901;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;56;2097152;56967;44256;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;54;2097152;58309;36086;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;58;2097152;47232;34287;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;45;2097152;56968;9753;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;58;2097152;47232;36342;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;44;2097152;58309;38408;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;39;2097152;56968;11582;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;50;2097152;47232;11842;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;50;2097152;56968;29742;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;56;2097152;58309;20494;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;57;2097152;56968;5020;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;46;2097152;47232;28710;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;46;2097152;58309;38370;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;54;2097152;47232;35725;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;38;2097152;56968;26223;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;55;2097152;58309;59912;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;49;2097152;47232;4423;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;38;2097152;56968;63088;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;55;2097152;56968;41765;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;39;2097152;58309;16020;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;57;2097152;56968;4129;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;42;2097152;47232;18944;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
